"Year"	"Size"	"Renewable heat capacity (GW)"	"% Renewable heat capacity"	"Annual output (GWh)"	"% Annual Output"	"Number of Installations"	"% Number of installations"
2022	"Large (<= 1 MW)"	0.976330581345961	0.426055928469374	2391.90155437616	0.424724189966773	113	0.00261974312607224
2022	"Small to medium (>45 MW - <1 MW)"	0.90302596914877	0.394066902203592	1568.91281289764	0.278588064114635	3689	0.0855241804608893
2022	"Micro (<= 45 KW)"	0.412198421767889	0.179877169327034	750.820358062811	0.13332136007243	39314	0.911438772198266
2022	"Biomethane"	0	0	920.02368	0.163366385846161	18	0.000417304214772569
2022	"Grand Total"	2.29155497226262	1	5631.65840533662	1	43134	1
2021	"Large (<= 1 MW)"	0.958747581345961	0.430689542320209	2327.77485911616	0.429466502408044	105	0.00264563596049184
2021	"Small to medium (>45 MW - <1 MW)"	0.88628796914877	0.398139163241185	1539.65509313765	0.284061100314323	3634	0.0915642007659746
2021	"Micro (<= 45 KW)"	0.381040281718423	0.171171294438606	684.598388580642	0.126306061922821	35933	0.905387018746221
2021	"Biomethane"	0	0	868.126307	0.160166335354813	16	0.000403144527313042
2021	"Grand Total"	2.22607583221315	1	5420.15464783445	1	39688	1
