"Year"	"Annual"	"Asset"
1998	-1.364185722	-14.484948257
1999	2.076663239	4.330644933
2000	16.935856496	60.210066566
2001	13.224235443	75.746676568
2002	11.268551662	78.395673819
2003	12.39066082	98.468182781
2004	10.94955	111.1943
2005	19.41672	113.5194
2006	23.07368	129.5656
2007	20.37952	146.8163
2008	33.80682	185.2795
2009	17.95693	199.3196
2010	20.42416	202.5175
2011	23.19781	209.5213
2012	17.6677	221.9828
2013	12.0384	199.2039
2014	6.001553	191.6753
2015	-0.3208793	151.2264
2016	1.467706	92.84731
2017	5.50391	57.68531
2018	11.59615	51.14029
2019	7.895053	49.21964
2020	7.867702	59.82902
